id,name,category,price,stock
1,clothing-1,clothing,2.50,187
2,books-2,books,51.14,380
3,home-3,home,14.95,347
4,toys-4,toys,14.09,233
5,food-5,food,13.03,32
6,electronics-6,electronics,40.01,413
7,clothing-7,clothing,27.02,376
8,books-8,books,0.15,223
9,home-9,home,97.47,295
10,toys-10,toys,75.58,423
11,food-11,food,24.16,407
12,electronics-12,electronics,67.57,307
13,clothing-13,clothing,53.84,428
14,books-14,books,96.31,96
15,home-15,home,42.24,276
16,toys-16,toys,17.19,61
17,food-17,food,34.34,303
18,electronics-18,electronics,71.47,32
19,clothing-19,clothing,67.01,397
20,books-20,books,43.41,209
21,home-21,home,62.32,456
22,toys-22,toys,93.58,445
23,food-23,food,2.79,232
24,electronics-24,electronics,55.28,370
25,clothing-25,clothing,55.47,316
26,books-26,books,85.55,305
27,home-27,home,86.08,405
28,toys-28,toys,77.16,308
29,food-29,food,79.76,147
30,electronics-30,electronics,11.37,236
31,clothing-31,clothing,29.41,171
32,books-32,books,72.36,22
33,home-33,home,7.07,38
34,toys-34,toys,37.81,156
35,food-35,food,34.60,387
36,electronics-36,electronics,23.31,339
37,clothing-37,clothing,2.49,129
38,books-38,books,62.40,227
39,home-39,home,55.60,157
40,toys-40,toys,70.09,415
41,food-41,food,26.19,314
42,electronics-42,electronics,6.36,213
43,clothing-43,clothing,90.51,172
44,books-44,books,22.23,379
45,home-45,home,0.99,330
46,toys-46,toys,15.78,481
47,food-47,food,92.96,499
48,electronics-48,electronics,38.57,80
49,clothing-49,clothing,90.15,151
50,books-50,books,43.73,441
51,home-51,home,1.67,424
52,toys-52,toys,89.68,296
53,food-53,food,90.79,348
54,electronics-54,electronics,58.81,401
55,clothing-55,clothing,60.02,231
56,books-56,books,88.50,453
57,home-57,home,68.72,333
58,toys-58,toys,23.68,152
59,food-59,food,45.02,284
60,electronics-60,electronics,10.62,44
61,clothing-61,clothing,80.68,163
62,books-62,books,69.95,76
63,home-63,home,97.77,236
64,toys-64,toys,49.78,327
65,food-65,food,81.70,27
66,electronics-66,electronics,60.03,140
67,clothing-67,clothing,9.64,169
68,books-68,books,8.28,227
69,home-69,home,0.92,22
70,toys-70,toys,84.04,474
71,food-71,food,67.81,487
72,electronics-72,electronics,15.98,363
73,clothing-73,clothing,70.48,458
74,books-74,books,9.98,397
75,home-75,home,68.23,418
76,toys-76,toys,27.54,130
77,food-77,food,99.55,255
78,electronics-78,electronics,67.16,138
79,clothing-79,clothing,18.85,241
80,books-80,books,97.21,291
81,home-81,home,29.46,426
82,toys-82,toys,16.96,208
83,food-83,food,1.41,176
84,electronics-84,electronics,3.48,131
85,clothing-85,clothing,22.70,67
86,books-86,books,44.45,4
87,home-87,home,2.11,140
88,toys-88,toys,80.35,493
89,food-89,food,90.35,443
90,electronics-90,electronics,66.88,411
91,clothing-91,clothing,70.07,321
92,books-92,books,67.63,342
93,home-93,home,22.78,67
94,toys-94,toys,89.79,20
95,food-95,food,40.40,91
96,electronics-96,electronics,67.32,202
97,clothing-97,clothing,77.51,31
98,books-98,books,26.72,23
99,home-99,home,66.98,499
100,toys-100,toys,12.70,188
101,food-101,food,78.86,228
102,electronics-102,electronics,21.09,328
103,clothing-103,clothing,49.96,416
104,books-104,books,58.10,10
105,home-105,home,51.21,348
106,toys-106,toys,84.10,166
107,food-107,food,77.52,200
108,electronics-108,electronics,41.56,159
109,clothing-109,clothing,88.36,77
110,books-110,books,50.10,467
111,home-111,home,54.73,217
112,toys-112,toys,50.81,430
113,food-113,food,7.81,113
114,electronics-114,electronics,75.41,90
115,clothing-115,clothing,46.81,248
116,books-116,books,62.35,43
117,home-117,home,60.97,176
118,toys-118,toys,23.00,43
119,food-119,food,41.62,254
120,electronics-120,electronics,75.48,404
121,clothing-121,clothing,40.95,224
122,books-122,books,53.32,393
123,home-123,home,42.57,39
124,toys-124,toys,37.74,473
125,food-125,food,25.21,211
126,electronics-126,electronics,61.30,55
127,clothing-127,clothing,66.38,423
128,books-128,books,75.64,164
129,home-129,home,57.47,113
130,toys-130,toys,10.06,451
131,food-131,food,90.40,10
132,electronics-132,electronics,96.13,435
133,clothing-133,clothing,22.69,40
134,books-134,books,67.32,429
135,home-135,home,66.70,460
136,toys-136,toys,66.23,8
137,food-137,food,58.70,119
138,electronics-138,electronics,72.79,421
139,clothing-139,clothing,69.85,117
140,books-140,books,14.56,8
141,home-141,home,11.84,107
142,toys-142,toys,45.15,156
143,food-143,food,67.21,2
144,electronics-144,electronics,72.68,295
145,clothing-145,clothing,94.62,124
146,books-146,books,22.36,358
147,home-147,home,76.72,460
148,toys-148,toys,85.89,345
149,food-149,food,66.38,397
150,electronics-150,electronics,6.50,393
151,clothing-151,clothing,60.46,208
152,books-152,books,87.48,136
153,home-153,home,39.47,354
154,toys-154,toys,38.45,12
155,food-155,food,44.25,338
156,electronics-156,electronics,48.62,154
157,clothing-157,clothing,80.10,37
158,books-158,books,13.00,360
159,home-159,home,56.34,311
160,toys-160,toys,70.55,456
161,food-161,food,5.67,250
162,electronics-162,electronics,93.35,161
163,clothing-163,clothing,66.90,408
164,books-164,books,25.10,413
165,home-165,home,66.68,253
166,toys-166,toys,47.62,75
167,food-167,food,37.22,140
168,electronics-168,electronics,12.26,485
169,clothing-169,clothing,78.70,343
170,books-170,books,81.61,66
171,home-171,home,46.68,482
172,toys-172,toys,60.54,393
173,food-173,food,56.46,317
174,electronics-174,electronics,55.79,473
175,clothing-175,clothing,7.06,261
176,books-176,books,84.91,175
177,home-177,home,22.13,24
178,toys-178,toys,24.93,411
179,food-179,food,24.47,6
180,electronics-180,electronics,11.79,119
181,clothing-181,clothing,63.76,3
182,books-182,books,13.39,277
183,home-183,home,95.64,179
184,toys-184,toys,20.55,195
185,food-185,food,10.41,370
186,electronics-186,electronics,71.48,291
187,clothing-187,clothing,22.02,487
188,books-188,books,72.99,187
189,home-189,home,86.88,27
190,toys-190,toys,14.62,233
191,food-191,food,1.29,34
192,electronics-192,electronics,57.42,373
193,clothing-193,clothing,19.61,264
194,books-194,books,58.88,429
195,home-195,home,60.36,445
196,toys-196,toys,44.49,201
197,food-197,food,52.64,240
198,electronics-198,electronics,24.03,50
199,clothing-199,clothing,48.20,398
200,books-200,books,53.92,313
201,home-201,home,93.57,69
202,toys-202,toys,9.62,21
203,food-203,food,79.18,397
204,electronics-204,electronics,39.06,161
205,clothing-205,clothing,58.14,402
206,books-206,books,61.23,287
207,home-207,home,37.94,172
208,toys-208,toys,78.43,9
209,food-209,food,6.69,0
210,electronics-210,electronics,46.71,211
211,clothing-211,clothing,45.93,6
212,books-212,books,91.15,182
213,home-213,home,61.62,430
214,toys-214,toys,28.30,286
215,food-215,food,78.31,113
216,electronics-216,electronics,97.75,69
217,clothing-217,clothing,46.79,97
218,books-218,books,90.70,58
219,home-219,home,77.29,214
220,toys-220,toys,24.61,315
221,food-221,food,33.75,9
222,electronics-222,electronics,40.61,189
223,clothing-223,clothing,17.87,142
224,books-224,books,84.03,78
225,home-225,home,89.97,65
226,toys-226,toys,31.72,116
227,food-227,food,88.63,393
228,electronics-228,electronics,70.76,39
229,clothing-229,clothing,99.36,163
230,books-230,books,17.28,182
231,home-231,home,54.14,280
232,toys-232,toys,68.26,467
233,food-233,food,13.41,379
234,electronics-234,electronics,93.73,74
235,clothing-235,clothing,12.23,428
236,books-236,books,38.89,226
237,home-237,home,34.68,371
238,toys-238,toys,49.98,159
239,food-239,food,60.64,327
240,electronics-240,electronics,31.08,303
241,clothing-241,clothing,37.13,266
242,books-242,books,51.24,154
243,home-243,home,18.97,345
244,toys-244,toys,1.45,161
245,food-245,food,82.80,261
246,electronics-246,electronics,4.46,143
247,clothing-247,clothing,16.52,254
248,books-248,books,52.04,450
249,home-249,home,21.92,138
250,toys-250,toys,7.21,339
251,food-251,food,39.54,417
252,electronics-252,electronics,44.75,162
253,clothing-253,clothing,27.12,476
254,books-254,books,84.84,449
255,home-255,home,52.05,293
256,toys-256,toys,27.98,307
257,food-257,food,8.57,310
258,electronics-258,electronics,18.68,427
259,clothing-259,clothing,11.35,334
260,books-260,books,34.98,484
261,home-261,home,84.40,123
262,toys-262,toys,68.83,17
263,food-263,food,90.98,53
264,electronics-264,electronics,80.41,260
265,clothing-265,clothing,15.43,89
266,books-266,books,20.94,146
267,home-267,home,23.08,59
268,toys-268,toys,79.00,328
269,food-269,food,71.47,275
270,electronics-270,electronics,6.76,326
271,clothing-271,clothing,98.03,354
272,books-272,books,56.99,227
273,home-273,home,81.96,352
274,toys-274,toys,0.48,347
275,food-275,food,64.01,451
276,electronics-276,electronics,58.83,185
277,clothing-277,clothing,32.87,217
278,books-278,books,99.99,493
279,home-279,home,3.80,365
280,toys-280,toys,1.97,489
281,food-281,food,71.33,454
282,electronics-282,electronics,4.92,219
283,clothing-283,clothing,75.64,234
284,books-284,books,94.05,202
285,home-285,home,76.83,454
286,toys-286,toys,25.26,21
287,food-287,food,12.29,289
288,electronics-288,electronics,42.37,148
289,clothing-289,clothing,46.24,495
290,books-290,books,89.59,326
291,home-291,home,78.20,20
292,toys-292,toys,73.09,239
293,food-293,food,18.74,216
294,electronics-294,electronics,45.89,443
295,clothing-295,clothing,40.13,70
296,books-296,books,76.19,23
297,home-297,home,82.84,251
298,toys-298,toys,10.98,400
299,food-299,food,61.30,323
300,electronics-300,electronics,96.06,407
301,clothing-301,clothing,75.39,306
302,books-302,books,14.31,70
303,home-303,home,18.99,404
304,toys-304,toys,70.71,471
305,food-305,food,81.19,231
306,electronics-306,electronics,53.01,194
307,clothing-307,clothing,9.25,214
308,books-308,books,6.75,103
309,home-309,home,92.79,363
310,toys-310,toys,97.87,318
311,food-311,food,51.88,377
312,electronics-312,electronics,12.35,359
313,clothing-313,clothing,10.97,374
314,books-314,books,49.98,33
315,home-315,home,67.75,159
316,toys-316,toys,3.92,216
317,food-317,food,96.07,320
318,electronics-318,electronics,88.38,482
319,clothing-319,clothing,40.37,373
320,books-320,books,78.76,440
321,home-321,home,71.36,379
322,toys-322,toys,74.66,376
323,food-323,food,84.30,423
324,electronics-324,electronics,51.52,284
325,clothing-325,clothing,3.15,51
326,books-326,books,97.12,440
327,home-327,home,26.54,392
328,toys-328,toys,92.77,339
329,food-329,food,21.30,342
330,electronics-330,electronics,28.67,450
331,clothing-331,clothing,18.53,154
332,books-332,books,72.96,447
333,home-333,home,55.46,392
334,toys-334,toys,65.17,384
335,food-335,food,71.72,31
336,electronics-336,electronics,95.48,162
337,clothing-337,clothing,81.88,264
338,books-338,books,56.69,296
339,home-339,home,61.09,495
340,toys-340,toys,85.85,82
341,food-341,food,35.47,133
342,electronics-342,electronics,49.03,43
343,clothing-343,clothing,59.36,388
344,books-344,books,67.77,299
345,home-345,home,10.51,129
346,toys-346,toys,66.86,109
347,food-347,food,83.28,243
348,electronics-348,electronics,43.37,443
349,clothing-349,clothing,42.77,230
350,books-350,books,75.36,213
351,home-351,home,15.24,364
352,toys-352,toys,78.31,402
353,food-353,food,68.41,376
354,electronics-354,electronics,76.23,299
355,clothing-355,clothing,59.68,188
356,books-356,books,6.12,199
357,home-357,home,12.53,156
358,toys-358,toys,16.67,373
359,food-359,food,4.55,358
360,electronics-360,electronics,81.44,358
361,clothing-361,clothing,78.83,340
362,books-362,books,45.84,268
363,home-363,home,58.23,496
364,toys-364,toys,90.58,130
365,food-365,food,91.83,16
366,electronics-366,electronics,51.68,378
367,clothing-367,clothing,68.46,359
368,books-368,books,36.20,75
369,home-369,home,41.54,331
370,toys-370,toys,24.14,442
371,food-371,food,0.09,261
372,electronics-372,electronics,53.69,368
373,clothing-373,clothing,4.61,429
374,books-374,books,94.32,394
375,home-375,home,81.14,66
376,toys-376,toys,43.09,281
377,food-377,food,73.51,85
378,electronics-378,electronics,2.40,290
379,clothing-379,clothing,3.63,71
380,books-380,books,14.78,251
381,home-381,home,52.59,428
382,toys-382,toys,22.27,215
383,food-383,food,88.51,455
384,electronics-384,electronics,95.72,40
385,clothing-385,clothing,44.15,378
386,books-386,books,72.71,399
387,home-387,home,71.68,494
388,toys-388,toys,51.91,471
389,food-389,food,57.54,59
390,electronics-390,electronics,23.84,37
391,clothing-391,clothing,1.23,41
392,books-392,books,39.21,268
393,home-393,home,52.22,60
394,toys-394,toys,50.80,267
395,food-395,food,96.99,366
396,electronics-396,electronics,58.60,256
397,clothing-397,clothing,52.14,156
398,books-398,books,33.05,201
399,home-399,home,8.27,434
400,toys-400,toys,96.73,54
401,food-401,food,69.81,360
402,electronics-402,electronics,35.86,162
403,clothing-403,clothing,73.99,11
404,books-404,books,0.59,156
405,home-405,home,80.98,122
